cap-shape,cap-surface,bruises,gill-attachment,gill-spacing,gill-size,stalk-shape,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,m,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,m,e
f,y,t,f,c,b,e,s,y,w,w,p,w,o,p,k,y,g,e
x,f,f,f,w,b,t,s,s,w,w,p,w,o,e,n,s,g,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,g,e
x,y,t,f,c,n,e,s,s,w,w,p,w,o,p,n,v,g,p
x,y,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,g,e
x,f,t,f,w,n,t,s,s,w,w,p,w,o,p,n,v,d,e
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,g,e
x,y,t,f,c,n,e,s,s,w,w,p,w,o,p,k,v,u,p
x,s,t,f,w,n,t,s,s,w,w,p,w,o,p,n,v,d,e
x,y,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,m,e
x,f,t,f,w,n,t,s,s,w,w,p,w,o,p,n,v,d,e
f,s,t,f,w,n,t,s,s,w,w,p,w,o,p,n,v,d,e
x,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,m,e
f,f,t,f,w,n,t,s,s,w,w,p,w,o,p,u,v,d,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,g,e
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,m,e
x,y,t,f,c,b,e,s,y,w,w,p,w,o,p,n,s,p,e
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,g,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,m,e
x,y,t,f,c,n,e,s,s,w,w,p,w,o,p,n,v,u,p
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,g,e
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,g,e
x,y,t,f,c,n,e,s,s,w,w,p,w,o,p,k,v,u,p
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,m,e
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,m,e
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,g,e
x,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,g,e
x,f,t,f,c,b,t,s,s,p,w,p,w,o,p,k,y,d,e
x,y,t,f,c,b,e,s,y,w,w,p,w,o,p,k,y,g,e
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,g,e
x,f,f,f,c,n,e,s,s,w,w,p,w,o,p,n,v,u,e
x,y,t,f,c,b,e,s,y,w,w,p,w,o,p,k,y,g,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,g,e
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,g,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,m,e
f,f,t,f,w,n,t,s,s,w,w,p,w,o,p,n,v,d,e
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,g,e
x,f,f,f,w,b,t,s,f,w,w,p,w,o,e,n,a,g,e
x,f,t,f,w,n,t,s,s,w,w,p,w,o,p,n,v,d,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,m,e
f,s,f,f,w,b,t,s,f,w,w,p,w,o,e,k,s,g,e
x,f,f,f,c,n,e,s,s,w,w,p,w,o,p,n,y,u,e
f,s,f,f,w,b,t,f,f,w,w,p,w,o,e,n,a,g,e
f,y,t,f,c,b,e,s,y,w,w,p,w,o,p,n,s,p,e
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,g,e
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,m,e
x,y,t,f,c,b,e,s,y,w,w,p,w,o,p,k,s,p,e
s,f,f,f,c,n,e,s,s,w,w,p,w,o,p,n,v,u,e
f,y,t,f,c,b,e,s,y,w,w,p,w,o,p,n,y,p,e
x,y,t,f,c,n,e,s,s,w,w,p,w,o,p,k,s,u,p
x,y,t,f,c,b,e,s,y,w,w,p,w,o,p,n,y,p,e
x,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,g,e
x,f,f,f,w,b,t,s,f,w,w,p,w,o,e,n,s,g,e
x,f,f,f,w,b,t,f,f,w,w,p,w,o,e,k,a,g,e
f,s,f,f,w,b,t,f,s,w,w,p,w,o,e,k,a,g,e
f,y,t,f,c,b,e,s,y,w,w,p,w,o,p,n,s,p,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,g,e
f,f,f,f,c,n,e,s,s,w,w,p,w,o,p,k,v,u,e
x,y,t,f,c,b,e,s,y,w,w,p,w,o,p,n,s,p,e
x,f,t,f,w,n,t,s,s,w,w,p,w,o,p,u,v,d,e
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,g,e
x,f,f,f,w,b,t,s,s,w,w,p,w,o,e,k,s,g,e
x,y,t,f,c,b,e,s,y,w,w,p,w,o,p,n,s,g,e
f,y,t,f,c,b,e,s,y,w,w,p,w,o,p,k,y,g,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,m,e
s,f,f,f,c,n,e,s,s,w,w,p,w,o,p,n,y,u,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,m,e
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,g,e
s,f,f,f,c,n,e,s,s,w,w,p,w,o,p,k,y,u,e
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,m,e
x,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,g,e
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,g,e
x,y,t,f,c,n,e,s,s,w,w,p,w,o,p,k,s,u,p
x,s,f,f,w,b,t,f,s,w,w,p,w,o,e,n,s,g,e
x,y,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,m,e
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,g,e
x,f,t,f,c,b,t,s,s,g,w,p,w,o,p,n,y,d,e
x,s,t,f,c,n,e,s,s,w,w,p,w,o,p,n,s,u,p
x,y,t,f,c,b,e,s,y,w,w,p,w,o,p,k,y,p,e
x,s,f,f,w,b,t,s,s,w,w,p,w,o,e,k,a,g,e
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,m,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,m,e
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,m,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,m,e
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,g,e
x,f,f,f,c,n,e,s,s,w,w,p,w,o,p,n,v,u,e
f,y,t,f,c,b,e,s,y,w,w,p,w,o,p,k,s,g,e
x,f,f,f,w,b,t,f,f,w,w,p,w,o,e,n,a,g,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,m,e
x,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,m,e
x,f,f,f,c,n,e,s,s,w,w,p,w,o,p,k,v,u,e
x,s,t,f,c,n,e,s,s,w,w,p,w,o,p,n,s,u,p
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,g,e
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,m,e
x,y,t,f,c,n,e,s,s,w,w,p,w,o,p,n,v,u,p
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,m,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,m,e
x,y,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,m,e
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,g,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,m,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,g,e
x,y,t,f,c,b,e,s,y,w,w,p,w,o,p,n,y,p,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,m,e
x,s,f,f,w,b,t,f,f,w,w,p,w,o,e,k,s,g,e
x,y,t,f,c,b,e,s,y,w,w,p,w,o,p,n,s,p,e
x,y,t,f,c,b,e,s,y,w,w,p,w,o,p,k,y,g,e
x,y,t,f,c,n,e,s,s,w,w,p,w,o,p,k,v,g,p
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,g,e
x,f,t,f,w,n,t,s,s,w,w,p,w,o,p,u,v,d,e
x,s,t,f,c,n,e,s,s,w,w,p,w,o,p,k,s,u,p
x,y,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,g,e
f,f,f,f,w,b,t,f,f,w,w,p,w,o,e,n,a,g,e
x,y,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,g,e
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,m,e
x,y,t,f,c,n,e,s,s,w,w,p,w,o,p,n,s,u,p
f,y,t,f,c,b,e,s,y,w,w,p,w,o,p,k,s,g,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,m,e
x,s,t,f,w,n,t,s,s,w,w,p,w,o,p,n,v,d,e
f,y,t,f,c,b,e,s,y,w,w,p,w,o,p,n,y,p,e
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,m,e
x,s,f,f,w,b,t,f,f,w,w,p,w,o,e,k,a,g,e
f,f,f,f,c,n,e,s,s,w,w,p,w,o,p,n,v,u,e
x,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,g,e
x,y,t,f,c,b,e,s,y,w,w,p,w,o,p,n,y,g,e
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,g,e
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,g,e
f,s,t,f,w,n,t,s,s,w,w,p,w,o,p,n,v,d,e
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,m,e
x,f,t,f,w,n,t,s,s,w,w,p,w,o,p,u,v,d,e
x,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,m,e
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,m,e
x,y,t,f,c,b,e,s,y,w,w,p,w,o,p,n,y,p,e
x,y,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,m,e
x,y,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,m,e
x,y,t,f,c,b,e,s,y,w,w,p,w,o,p,k,y,p,e
x,y,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,m,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,m,e
x,y,t,f,c,b,e,s,y,w,w,p,w,o,p,k,s,g,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,g,e
f,y,t,f,c,b,e,s,y,w,w,p,w,o,p,k,s,g,e
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,m,e
x,f,t,f,c,b,t,s,s,g,p,p,w,o,p,n,y,d,e
x,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,m,e
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,g,e
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,m,e
x,f,t,f,w,n,t,s,s,w,w,p,w,o,p,n,v,d,e
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,m,e
x,s,f,f,w,b,t,s,f,w,w,p,w,o,e,k,a,g,e
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,g,e
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,m,e
f,y,t,f,c,b,e,s,y,w,w,p,w,o,p,k,y,p,e
f,y,t,f,c,b,e,s,y,w,w,p,w,o,p,n,y,p,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,m,e
f,y,t,f,c,b,e,s,y,w,w,p,w,o,p,n,s,g,e
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,g,e
x,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,m,e
x,f,f,f,c,n,e,s,s,w,w,p,w,o,p,k,v,u,e
f,y,t,f,c,b,e,s,y,w,w,p,w,o,p,n,y,g,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,m,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,g,e
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,g,e
f,y,t,f,c,b,e,s,y,w,w,p,w,o,p,n,s,p,e
x,y,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,g,e
x,y,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,m,e
f,f,t,f,w,n,t,s,s,w,w,p,w,o,p,u,v,d,e
s,f,f,f,c,n,e,s,s,w,w,p,w,o,p,k,y,u,e
f,s,t,f,w,n,t,s,s,w,w,p,w,o,p,n,v,d,e
f,f,f,f,c,n,e,s,s,w,w,p,w,o,p,k,y,u,e
x,f,f,f,c,n,e,s,s,w,w,p,w,o,p,n,y,u,e
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,g,e
x,s,t,f,w,n,t,s,s,w,w,p,w,o,p,n,v,d,e
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,m,e
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,m,e
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,g,e
f,s,t,f,w,n,t,s,s,w,w,p,w,o,p,u,v,d,e
f,f,f,f,c,n,e,s,s,w,w,p,w,o,p,k,y,u,e
f,s,t,f,w,n,t,s,s,w,w,p,w,o,p,n,v,d,e
f,y,t,f,c,b,e,s,y,w,w,p,w,o,p,k,y,g,e
x,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,m,e
s,f,f,f,c,n,e,s,s,w,w,p,w,o,p,n,y,u,e
x,y,t,f,c,b,e,s,y,w,w,p,w,o,p,k,s,p,e
x,y,t,f,c,b,e,s,y,w,w,p,w,o,p,k,s,p,e
f,f,t,f,w,n,t,s,s,w,w,p,w,o,p,u,v,d,e
f,s,t,f,c,n,e,s,s,w,w,p,w,o,p,n,s,g,p
x,s,t,f,c,n,e,s,s,w,w,p,w,o,p,n,v,u,p
f,y,t,f,c,b,e,s,y,w,w,p,w,o,p,n,s,p,e
x,y,t,f,c,b,e,s,y,w,w,p,w,o,p,k,s,g,e
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,m,e
f,f,f,f,w,b,t,f,s,w,w,p,w,o,e,n,a,g,e
f,y,t,f,c,b,e,s,y,w,w,p,w,o,p,n,s,g,e
x,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,g,e
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,m,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,g,e
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,g,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,m,e
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,m,e
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,g,e
x,s,t,f,c,n,e,s,s,w,w,p,w,o,p,n,v,g,p
x,s,f,f,w,b,t,s,s,w,w,p,w,o,e,n,s,g,e
f,s,f,f,w,b,t,f,s,w,w,p,w,o,e,n,a,g,e
x,f,t,f,w,n,t,s,s,w,w,p,w,o,p,n,v,d,e
f,f,f,f,c,n,e,s,s,w,w,p,w,o,p,n,v,u,e
f,f,f,f,c,n,e,s,s,w,w,p,w,o,p,n,y,u,e
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,g,e
x,f,t,f,w,n,t,s,s,w,w,p,w,o,p,u,v,d,e
s,f,f,f,c,n,e,s,s,w,w,p,w,o,p,n,v,u,e
x,f,f,f,c,n,e,s,s,w,w,p,w,o,p,n,v,u,e
x,f,f,f,w,b,t,f,s,w,w,p,w,o,e,n,a,g,e
x,y,t,f,c,b,e,s,y,w,w,p,w,o,p,k,y,p,e
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,g,e
x,y,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,g,e
x,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,g,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,m,e
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,g,e
f,y,t,f,c,b,e,s,y,w,w,p,w,o,p,n,y,p,e
x,s,t,f,c,n,e,s,s,w,w,p,w,o,p,n,s,u,p
f,f,f,f,c,n,e,s,s,w,w,p,w,o,p,k,y,u,e
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,g,e
f,y,t,f,c,b,e,s,y,w,w,p,w,o,p,n,s,p,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,m,e
x,f,f,f,c,n,e,s,s,w,w,p,w,o,p,k,y,u,e
f,y,t,f,c,b,e,s,y,w,w,p,w,o,p,n,y,p,e
x,y,t,f,c,b,e,s,y,w,w,p,w,o,p,n,y,p,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,g,e
x,y,t,f,c,n,e,s,s,w,w,p,w,o,p,k,s,g,p
f,y,t,f,c,b,e,s,y,w,w,p,w,o,p,k,y,p,e
f,s,t,f,c,n,e,s,s,w,w,p,w,o,p,k,s,g,p
x,f,f,f,w,b,t,f,s,w,w,p,w,o,e,k,s,g,e
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,m,e
s,f,f,f,c,n,e,s,s,w,w,p,w,o,p,k,v,u,e
x,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,m,e
f,s,t,f,w,n,t,s,s,w,w,p,w,o,p,u,v,d,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,m,e
f,f,f,f,w,b,t,s,f,w,w,p,w,o,e,k,s,g,e
x,y,t,f,c,n,e,s,s,w,w,p,w,o,p,n,s,g,p
x,y,t,f,c,b,e,s,y,w,w,p,w,o,p,k,s,g,e
f,f,f,f,w,b,t,s,s,w,w,p,w,o,e,k,a,g,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,m,e
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,m,e
f,f,f,f,c,n,e,s,s,w,w,p,w,o,p,n,v,u,e
x,f,t,f,w,n,t,s,s,w,w,p,w,o,p,u,v,d,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,m,e
f,f,f,f,c,n,e,s,s,w,w,p,w,o,p,n,y,u,e
x,f,f,f,w,b,t,f,s,w,w,p,w,o,e,n,s,g,e
x,y,t,f,c,b,e,s,y,w,w,p,w,o,p,k,s,p,e
f,s,t,f,w,n,t,s,s,w,w,p,w,o,p,n,v,d,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,g,e
f,y,t,f,c,b,e,s,y,w,w,p,w,o,p,k,y,p,e
x,y,t,f,c,n,e,s,s,w,w,p,w,o,p,k,v,u,p
x,f,t,f,w,n,t,s,s,w,w,p,w,o,p,u,v,d,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,g,e
x,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,m,e
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,g,e
x,s,t,f,w,n,t,s,s,w,w,p,w,o,p,u,v,d,e
x,s,t,f,w,n,t,s,s,w,w,p,w,o,p,u,v,d,e
x,f,f,f,w,b,t,f,s,w,w,p,w,o,e,k,s,g,e
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,m,e
x,y,t,f,c,n,e,s,s,w,w,p,w,o,p,k,v,g,p
x,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,g,e
f,s,f,f,w,b,t,s,f,w,w,p,w,o,e,k,s,g,e
x,s,t,f,c,n,e,s,s,w,w,p,w,o,p,n,s,g,p
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,m,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,m,e
f,f,t,f,w,n,t,s,s,w,w,p,w,o,p,n,v,d,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,g,e
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,g,e
x,y,t,f,c,b,e,s,y,w,w,p,w,o,p,n,y,g,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,g,e
x,f,f,f,c,n,e,s,s,w,w,p,w,o,p,n,v,u,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,g,e
x,y,t,f,c,b,e,s,y,w,w,p,w,o,p,n,y,g,e
x,s,t,f,c,n,e,s,s,w,w,p,w,o,p,n,s,g,p
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,m,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,m,e
x,y,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,g,e
x,y,t,f,c,b,e,s,y,w,w,p,w,o,p,n,y,g,e
f,y,t,f,c,b,e,s,y,w,w,p,w,o,p,k,s,g,e
x,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,m,e
s,f,f,f,c,n,e,s,s,w,w,p,w,o,p,k,v,u,e
f,f,f,f,c,n,e,s,s,w,w,p,w,o,p,k,y,u,e
s,f,f,f,c,n,e,s,s,w,w,p,w,o,p,k,v,u,e
x,y,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,m,e
x,s,t,f,c,n,e,s,s,w,w,p,w,o,p,k,s,u,p
x,s,f,f,w,b,t,s,f,w,w,p,w,o,e,k,s,g,e
x,y,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,g,e
x,y,t,f,c,n,e,s,s,w,w,p,w,o,p,n,s,g,p
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,m,e
x,s,t,f,c,n,e,s,s,w,w,p,w,o,p,k,v,u,p
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,m,e
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,m,e
x,y,t,f,c,n,e,s,s,w,w,p,w,o,p,n,s,g,p
x,s,t,f,c,n,e,s,s,w,w,p,w,o,p,k,s,u,p
x,s,f,f,w,b,t,s,f,w,w,p,w,o,e,n,a,g,e
x,y,t,f,c,b,e,s,y,w,w,p,w,o,p,n,y,g,e
f,f,f,f,w,b,t,f,f,w,w,p,w,o,e,n,a,g,e
f,y,t,f,c,b,e,s,y,w,w,p,w,o,p,n,s,p,e
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,m,e
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,g,e
x,s,f,f,w,b,t,s,f,w,w,p,w,o,e,n,s,g,e
f,y,t,f,c,b,e,s,y,w,w,p,w,o,p,k,y,g,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,m,e
f,f,f,f,c,n,e,s,s,w,w,p,w,o,p,k,v,u,e
f,s,f,f,w,b,t,f,s,w,w,p,w,o,e,n,a,g,e
x,f,f,f,w,b,t,s,f,w,w,p,w,o,e,n,s,g,e
f,s,f,f,w,b,t,s,f,w,w,p,w,o,e,k,a,g,e
x,s,t,f,c,n,e,s,s,w,w,p,w,o,p,n,s,u,p
x,y,t,f,c,b,e,s,y,w,w,p,w,o,p,k,s,g,e
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,g,e
f,f,f,f,w,b,t,s,s,w,w,p,w,o,e,k,a,g,e
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,g,e
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,m,e
